Precipitación media histórica por entidad federativa ,,,,,,,,,,,,,,,,
(milímetros) ,,,,,,,,,,,,,,,,
,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Entidad federativa,,,,,,,,,,,,,,,,
Aguascalientes,448,456,459,460,464,463,464,461,461,465,466,471,472,473,477,477
Baja California,203,204,202,202,202,201,202,202,201,201,200,200,201,200,199,199
Baja California Sur,176,176,178,178,178,179,178,176,178,179,181,183,184,183,183,184
Campeche,"1,138","1,169","1,175","1,175","1,182","1,182","1,185","1,185","1,184","1,191","1,194","1,196","1,196","1,198","1,201","1,202"
Coahuila,316,327,327,327,332,332,335,333,333,334,336,338,341,341,342,341
Colima,890,883,886,886,889,889,893,900,901,915,928,942,947,957,966,976
Chiapas,"1,961","1,969","1,975","1,975","1,985","1,985","1,995","2,001","1,999","2,003","2,004","2,000","1,995","1,995","1,991","1,989"
Chihuahua,423,423,426,427,429,430,430,428,428,431,432,434,435,436,436,437
Ciudad de México,721,719,721,721,724,723,723,724,722,721,720,717,716,713,714,712
Durango,509,499,500,500,501,502,502,499,498,498,498,499,500,499,499,498
Guanajuato,592,605,608,608,613,613,615,612,612,614,614,617,618,618,621,620
Guerrero,"1,110","1,105","1,108","1,108","1,112","1,110","1,116","1,117","1,115","1,117","1,119","1,117","1,115","1,116","1,116","1,116"
Hidalgo,814,802,801,801,802,802,804,803,800,800,800,798,797,795,792,788
Jalisco,824,821,822,822,823,821,823,819,817,821,823,827,828,830,833,834
México,893,877,874,874,871,869,868,866,862,862,862,862,863,863,866,866
Michoacán,803,807,808,808,808,808,812,810,809,813,814,816,815,815,819,819
Morelos,876,884,884,884,884,887,891,892,892,900,912,917,929,942,955,964
Nayarit,"1,062","1,069","1,068","1,067","1,075","1,078","1,086","1,086","1,086","1,088","1,090","1,095","1,097","1,099","1,102","1,103"
Nuevo León,589,602,602,603,607,605,614,611,610,612,613,614,614,613,613,612
Oaxaca,"1,519","1,519","1,515","1,515","1,513","1,509","1,515","1,513","1,511","1,508","1,503","1,497","1,490","1,489","1,486","1,481"
Puebla,"1,261","1,271","1,270","1,270","1,274","1,274","1,275","1,275","1,277","1,278","1,278","1,277","1,276","1,278","1,277","1,274"
Querétaro,555,558,559,559,561,560,562,560,560,563,566,568,571,571,571,569
Quintana Roo,"1,249","1,263","1,261","1,261","1,258","1,256","1,259","1,262","1,263","1,272","1,273","1,276","1,274","1,276","1,276","1,273"
San Luis Potosí,960,946,942,942,953,953,959,958,958,957,955,953,950,945,941,936
Sinaloa,793,770,770,770,767,766,763,761,760,761,763,767,766,765,768,770
Sonora,428,422,421,421,422,422,422,421,421,421,422,425,425,425,427,430
Tabasco,"2,413","2,406","2,410","2,413","2,415","2,405","2,407","2,409","2,404","2,410","2,409","2,410","2,401","2,396","2,390","2,384"
Tamaulipas,766,767,766,766,773,771,775,772,772,776,779,780,780,778,777,774
Tlaxcala,711,705,708,708,707,706,708,708,710,712,714,715,716,716,715,713
Veracruz,"1,475","1,492","1,494","1,495","1,496","1,495","1,500","1,500","1,503","1,508","1,508","1,508","1,508","1,511","1,511","1,506"
Yucatán,"1,108","1,091","1,088","1,088","1,084","1,079","1,079","1,078","1,076","1,080","1,081","1,080","1,077","1,078","1,077","1,076"
Zacatecas,516,518,517,517,516,516,513,516,512,514,514,517,516,516,517,516
Nacional,772,774,774,775,777,776,779,778,777,779,780,781,780,781,781,780
