Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Irlanda,IRL,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,707,762,821,878,995,1055,1107,1187,1159,1331,1487,1704,2080,2424,2517,2973,2920,3427,4400,5430,6372,5986,6161,5915,5692,6012,8112,9582,10716,11176,14031,14087,15714,14657,15903,19158,20836,22551,24295,26338,26335,28282,32705,41204,47754,50933,54329,61396,61353,52133,48679,52693,49412,52619,57278,64312,64293,72499,81248,82508,87567,105561,106195,103888
Suiza,CHE,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,1954,2155,2330,2508,2735,2865,3045,3237,3413,3657,4044,4835,5885,7856,9005,10328,10865,11644,16282,18266,19394,17665,18000,17859,16991,17152,24460,30441,32690,31309,39575,39544,40714,39237,43092,50114,48093,41584,42681,41696,38865,39639,42459,49336,54659,56243,59011,64989,74175,71568,76531,90477,85836,87304,88725,83806,82153,82254,85217,84122,85898,93446,93246,99565
Noruega,NOR,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,1451,1571,1678,1787,1951,2179,2333,2531,2680,2894,3306,3736,4414,5690,6812,8204,8927,10266,11463,13047,15772,15513,15225,14928,14989,15754,18883,22506,24207,24281,28243,28597,30524,27964,29316,34876,37322,36629,34803,36393,38178,38602,43171,50250,57769,67047,74434,85502,97504,80348,88163,101222,102176,103554,97667,74810,70867,76132,82793,76431,68340,93073,108798,87925
Singapur,SGP,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,428,449,472,511,486,517,567,626,709,813,926,1071,1264,1685,2342,2490,2759,2846,3194,3901,4928,5597,6078,6633,7228,7002,6800,7539,8914,10395,11862,14502,16136,18290,21552,24915,26233,26376,21829,21797,23853,21700,22160,23730,27608,29961,33768,39433,40009,38927,47237,53891,55548,56967,57565,55646,56900,61162,66841,66082,61467,79601,88429,84734
Estados Unidos,USA,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,3000,3059,3236,3366,3565,3818,4136,4326,4685,5020,5234,5609,6094,6726,7226,7801,8592,9453,10565,11674,12575,13976,14434,15544,17121,18237,19071,20039,21417,22857,23889,24342,25419,26387,27695,28691,29968,31459,32854,34515,36330,37134,37998,39490,41725,44123,46302,48050,48570,47195,48651,50066,51784,53410,55304,57040,58207,60322,63201,65605,64411,71318,78035,82769
Qatar,QAT,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,2594,2952,3483,4905,13540,13014,15710,16058,16757,21777,28375,29505,24385,19616,19272,16815,13213,13719,14682,15243,16722,15133,16280,14770,14765,15823,17125,20523,17665,20234,27535,25871,27227,31602,41036,53950,62582,65954,80781,60786,77387,103262,108470,103697,95841,68985,61254,63280,71040,66841,51684,71752,88701,80196
Islandia,ISL,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,1436,1439,1586,1859,2332,2764,3264,3173,2390,2070,2576,3252,4015,5437,7041,6454,7583,9957,11237,12641,14822,15137,13712,11672,11960,12361,16406,22453,24452,22434,25385,26803,27124,23580,24019,26634,27615,27919,31030,32382,32096,28897,32409,39477,47335,56795,57493,69496,56943,41301,43237,47715,45996,49805,54577,52952,61988,72010,74452,68452,59024,69326,75314,79637
Dinamarca,DNK,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,1389,1531,1711,1807,2049,2284,2487,2701,2776,3151,3464,3846,4654,6117,6764,7988,8773,9770,11818,13757,13822,12000,11740,11797,11517,12213,17137,21296,22525,21882,26886,27003,29579,27582,29968,35321,35622,32780,33346,33426,30722,30768,33257,40519,46625,48926,52119,58632,64617,58413,58105,61810,58444,61378,62520,53094,54501,57522,61325,59404,60985,69728,68091,68454
Australia,AUS,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,1811,1878,1855,1967,2131,2281,2344,2580,2724,2991,3305,3495,3949,4771,6483,7004,7487,7776,8253,9295,10209,11854,12779,11516,12422,11442,11392,11651,14285,17834,18249,18860,18624,17700,18130,20448,22022,23647,21479,20713,21870,19696,20302,23718,30837,34480,36596,41052,49701,42817,52145,62606,68073,68191,62544,56739,49888,53902,57196,54973,51792,60608,64997,64821
Países Bajos,NLD,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,1156,1254,1342,1437,1668,1848,1986,2155,2364,2647,2931,3384,4110,5353,6450,7346,7937,9180,11196,12817,13812,11537,11089,10696,9992,9941,13804,16734,17771,17423,21322,21764,23939,23156,24683,29301,29064,26745,27924,28319,26225,26956,29447,35897,40611,42165,45124,52101,58247,53172,51306,54702,50474,52602,53457,45794,46809,49514,53955,53555,53468,60142,59123,64572
