N,Country,life_expectancy_both,life_expectancy_females,life_expectancy_males
1,Afghanistan,66.54,68.08,64.94
2,Albania,79.95,81.74,78.12
3,Algeria,76.69,78.13,75.3
4,Angola,64.98,67.54,62.44
5,Antigua and Barbuda,77.94,80.6,74.93
6,Argentina,77.69,80.16,75.14
7,Armenia,76.01,79.73,71.76
8,Aruba,76.64,79.06,73.99
9,Australia,84.21,85.97,82.43
10,Austria,82.29,84.57,79.97
11,Azerbaijan,74.73,77.44,71.86
12,Bahamas,74.86,78.46,71.21
13,Bahrain,81.58,82.26,81.03
14,Bangladesh,75.19,76.94,73.55
15,Barbados,76.49,78.91,73.93
16,Belarus,74.79,79.37,69.94
17,Belgium,82.43,84.57,80.26
18,Belize,73.9,76.83,71.23
19,Benin,61.14,62.61,59.68
20,Bhutan,73.53,75.55,71.82
21,Bolivia,68.91,71.51,66.42
22,Bosnia and Herzegovina,78.24,81.23,74.88
23,Botswana,69.43,72.01,66.9
24,Brazil,76.2,79.3,73.14
25,Brunei,75.67,77.9,73.65
26,Bulgaria,75.96,79.51,72.52
27,Burkina Faso,61.47,63.62,59.28
28,Burundi,63.97,66.06,61.89
29,Cabo Verde,76.4,79.53,73.25
30,Cambodia,70.97,73.53,68.29
31,Cameroon,64.25,66.52,62.05
32,Canada,82.88,85.03,80.74
33,Central African Republic,57.9,59.8,55.73
34,Chad,55.43,57.39,53.54
35,Chile,81.54,83.37,79.67
36,China,78.37,81.25,75.65
37,Colombia,78.09,80.77,75.36
38,Comoros,67.25,69.45,65.22
39,Congo,66.2,67.94,64.51
40,Costa Rica,81.19,83.72,78.6
41,Côte d'Ivoire,62.28,64.49,60.32
42,Croatia,78.92,81.95,75.8
43,Cuba,78.45,80.84,76.06
44,Curaçao,77.17,81.1,72.87
45,Cyprus,81.99,83.93,80.05
46,Czech Republic (Czechia),80.11,82.85,77.35
47,Denmark,82.25,84.1,80.39
48,Djibouti,66.41,68.96,63.92
49,Dominican Republic,73.99,77.23,70.79
50,DR Congo,62.23,64.4,60.1
51,Ecuador,77.76,80.46,75.08
52,Egypt,71.99,74.22,69.82
53,El Salvador,72.52,76.7,67.99
54,Equatorial Guinea,64.1,66.1,62.4
55,Eritrea,69.15,71.22,67
56,Estonia,79.48,83.3,75.35
57,Eswatini,64.4,67.26,61.45
58,Ethiopia,67.88,71.3,64.62
59,Fiji,67.62,69.72,65.6
60,Finland,82.24,84.91,79.6
61,France,83.58,86.31,80.73
62,French Guiana,77.37,80.3,74.52
63,French Polynesia,84.31,86.74,82.03
64,Gabon,68.7,71.45,66.23
65,Gambia,66.25,67.96,64.53
66,Georgia,74.82,79.36,69.93
67,Germany,81.71,84.01,79.42
68,Ghana,65.89,68.36,63.49
69,Greece,82.22,84.6,79.74
70,Grenada,75.52,78.64,72.67
71,Guadeloupe,82.4,85.77,78.56
72,Guam,77.63,81.74,73.89
73,Guatemala,72.89,75.21,70.57
74,Guinea,61.06,62.27,59.8
75,Guinea-Bissau,64.41,66.72,61.96
76,Guyana,70.45,74.22,66.73
77,Haiti,65.3,68.67,62.07
78,Honduras,73.22,75.85,70.65
79,Hong Kong,85.77,88.39,83.1
80,Hungary,77.33,80.46,74.07
81,Iceland,83.15,84.57,81.8
82,India,72.48,74.13,70.95
83,Indonesia,71.44,73.61,69.29
84,Iran,78.05,79.99,76.22
85,Iraq,72.53,74.33,70.59
86,Ireland,82.75,84.72,80.79
87,Israel,82.77,84.81,80.67
88,Italy,84.03,86.01,81.94
89,Jamaica,71.73,74.3,69.17
90,Japan,85,88.03,81.99
91,Jordan,78.13,80.46,76.06
92,Kazakhstan,74.67,78.65,70.43
93,Kenya,64.01,66.32,61.8
94,Kiribati,66.72,68.48,64.79
95,Kuwait,80.78,82.15,79.63
96,Kyrgyzstan,71.97,75.56,68.44
97,Laos,69.47,71.8,67.25
98,Latvia,76.48,80.72,71.94
99,Lebanon,78.08,79.99,76.02
100,Lesotho,58.22,60.87,55.44
101,Liberia,62.47,63.8,61.14
102,Libya,73.19,75.26,71.23
103,Lithuania,76.32,80.92,71.61
104,Luxembourg,82.49,84.06,80.91
105,Macao,83.42,85.49,81.26
106,Madagascar,64.04,65.82,62.31
107,Malawi,67.74,70.96,64.45
108,Malaysia,76.99,79.67,74.63
109,Maldives,81.51,83.17,80.2
110,Mali,60.89,62.38,59.46
111,Malta,83.63,85.51,81.69
112,Martinique,82.89,85.84,79.63
113,Mauritania,68.94,70.97,66.9
114,Mauritius,75.27,78.5,72.28
115,Mayotte,76.42,78.68,74.45
116,Mexico,75.45,78.17,72.63
117,Micronesia,71.81,74.79,68.97
118,Micronesia,71.81,74.79,68.97
119,Moldova,71.47,75.81,66.83
120,Mongolia,72.24,76.88,67.75
121,Montenegro,77.43,80.6,74.12
122,Morocco,75.68,77.96,73.54
123,Mozambique,63.97,66.93,60.66
124,Myanmar,67.3,70.59,64.18
125,Namibia,67.66,71.63,63.6
126,Nepal,70.9,72.42,69.32
127,Netherlands,82.45,83.98,80.89
128,New Caledonia,79.07,81.53,76.63
129,New Zealand,82.39,84,80.77
130,Nicaragua,75.27,77.74,72.64
131,Niger,61.66,62.66,60.69
132,Nigeria,54.78,55.12,54.45
133,North Korea,73.86,76.02,71.66
134,North Macedonia,77.68,79.83,75.41
135,Norway,83.61,85.09,82.11
136,Oman,80.45,82.21,78.95
137,Pakistan,67.94,70.47,65.58
138,Panama,79.96,82.84,77.1
139,Papua New Guinea,66.39,69.34,63.94
140,Paraguay,74.11,77.22,71.14
141,Peru,78.12,80.45,75.82
142,Philippines,70.07,73.11,67.1
143,Poland,78.98,82.61,75.31
144,Portugal,82.72,85.37,79.89
145,Puerto Rico,82.08,85.5,78.5
146,Qatar,82.68,83.6,81.96
147,Réunion,83.8,86.57,80.81
148,Romania,76.25,79.82,72.74
149,Russia,73.52,79.32,67.69
150,Rwanda,68.24,70.39,65.92
151,Saint Lucia,73,76.6,69.6
152,Samoa,71.95,73.97,70.06
153,Sao Tome & Principe,70.08,74.08,66.57
154,Saudi Arabia,79.19,81.51,77.56
155,Senegal,69.16,71.26,67.21
156,Serbia,77.14,80.35,73.89
157,Seychelles,73.14,76.83,70.23
158,Sierra Leone,62.15,63.9,60.41
159,Singapore,84,86.48,81.53
160,Slovakia,78.65,81.84,75.41
161,Slovenia,81.94,84.58,79.33
162,Solomon Islands,70.83,72.34,69.47
163,Somalia,59.11,61.7,56.63
164,South Africa,66.49,69.97,62.95
165,South Korea,84.53,87.4,81.44
166,South Sudan,57.85,60.86,54.87
167,Spain,83.96,86.59,81.27
168,Sri Lanka,77.85,80.9,74.65
169,St. Vincent & Grenadines,71.51,74.62,68.89
170,State of Palestine,73.1,76.86,69.72
171,Sudan,66.7,70.02,63.61
172,Suriname,73.9,77.12,70.73
173,Sweden,83.58,85.34,81.84
174,Switzerland,84.23,86.06,82.34
175,Syria,72.99,75.42,70.58
176,Taiwan,80.94,83.88,78.09
177,Tajikistan,72.05,74.29,69.78
178,Tanzania,67.42,70.21,64.59
179,Thailand,76.83,81.17,72.65
180,Timor-Leste,68.13,69.92,66.47
181,Togo,63.14,63.39,62.87
182,Tonga,73.23,76.69,69.64
183,Trinidad and Tobago,73.75,76.96,70.64
184,Tunisia,76.9,79.5,74.34
185,Turkey,77.82,80.82,74.94
186,Turkmenistan,70.33,73.17,67.13
